license_type,business_name,street_address,status,city,state,zip_code,phone_no,year,licence_number,full_address,active,lat,lon
Peddlers and Canvassers License,MATTHEW MASON SR.,221 SADIE ST,ACTIVE,SOUTH BEND,IN,46628,574-514-4875,2023,PDL2023-002,"221 SADIE ST, SOUTH BEND, IN, 46628",FALSE,41.6784144,-86.2818418
Restaurant (A-M) License,MICHOACAN SUPERMARKET,425 S Main St,READY2ISSU,SOUTH BEND,IN,46601,574-234-1546,2023,RST2023-147,"425 S Main St, SOUTH BEND, IN, 46601",FALSE,41.6714554,-86.2524973
Restaurant (N-Z) License,VOLCANO RESTAURANT,3700 LINCOLN WAY W,ACTIVE,SOUTH BEND,IN,46628,574-287-5775,2023,RST2023-231,"3700 LINCOLN WAY W, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Restaurant (N-Z) License,7-Eleven #35742,"1233 N EDDY ST, SOUTH BEND, IN, 46617",RENEWED,SOUTH BEND,IN,46617,573-273-8170,2022,RST2022-276,"1233 N EDDY ST, SOUTH BEND, IN, 46617, SOUTH BEND, IN, 46617",FALSE,NA,NA
Restaurant (A-M) License,THE MADISON OYSTER BAR,129 N MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-288-3776,2022,RST2022-153,"129 N MAIN ST, SOUTH BEND, IN, 46601",FALSE,41.6772024,-86.2521087
Restaurant (N-Z) License,The Well @ River Park Grace Church,"2410 E MISHAWAKA AV, SOUTH BEND, 46615",READY2ISSU,South Bend,IN,46614,574-387-2410,2023,RST2023-368,"2410 E MISHAWAKA AV, SOUTH BEND, 46615, South Bend, IN, 46614",FALSE,NA,NA
Hotel and Motel License,HOLIDAY INN EXPRESS,210 E Callander St,ACTIVE,SOUTH BEND,IN,46614,574-291-1040,2023,HTM2023-016,"210 E Callander St, SOUTH BEND, IN, 46614",FALSE,41.6273216,-86.2500818
Restaurant (A-M) License,Fatbird LLC,103 W COLFAX AVE,RENEWED,SOUTH BEND,IN,46601,574-383-5708,2021,RST2021-006,"103 W COLFAX AVE, SOUTH BEND, IN, 46601",FALSE,41.6776518,-86.2505765
Restaurant (A-M) License,McDonald's 2982,"3221 LINCOLN WAY W, SOUTH BEND, IN, 466281450",ACTIVE,South Bend,IN,46637,574-400-0775,2023,RST2023-117,"3221 LINCOLN WAY W, SOUTH BEND, IN, 466281450, South Bend, IN, 46637",FALSE,NA,NA
Restaurant (N-Z) License,PIZZA HUT #34126,2017 SOUTH BEND AVE,RENEWED,SOUTH BEND,IN,46637,574-273-9944,2021,RST2021-285,"2017 SOUTH BEND AVE, SOUTH BEND, IN, 46637",FALSE,41.6990861,-86.2190858
Restaurant (N-Z) License,ONE STOP #3,1807 LINCOLN WAY E,ACTIVE,SOUTH BEND,IN,46613,574-288-8850,2023,RST2023-356,"1807 LINCOLN WAY E, SOUTH BEND, IN, 46613",FALSE,NA,NA
Restaurant (A-M) License,MC DONALD'S 2982,3221 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46628,574-400-0775,2022,RST2022-267,"3221 LINCOLN WAY W, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Alarm Agent License,MICHIGAN MONITORING SERVICE,2681 Industrial Row Dr,RENEWED,TROY,MI,48084,248-559-7100,2022,ALR2022-021,"2681 Industrial Row Dr, TROY, MI, 48084",FALSE,42.5407458,-83.181556
Rubbish/Garbage Removal License,REPUBLIC SERVICES,3300 Charlotte Ave,RENEWED,ELKHART,IN,46517,574-522-1331,2020,1205TRASH2020,"3300 Charlotte Ave, ELKHART, IN, 46517",FALSE,41.656864,-86.010253
Tattoo/Body Piercing Artist License,Emily Bradford,1008 W. Colfax Ave.,ACTIVE,South Bend,IN,46616,574-350-0638,2023,TAA2023-007,"1008 W. Colfax Ave., South Bend, IN, 46616",FALSE,41.6774931,-86.2648426
Alarm Agent License,Advanced Security,"807 Bower St, Elkhart, Indiana, 46514",ACTIVE,Elkhart,IN,46514,574-293-6898,2023,ALR2023-050,"807 Bower St, Elkhart, Indiana, 46514, Elkhart, IN, 46514",FALSE,NA,NA
Restaurant (A-M) License,Chick-fil-A Portage Rd,"3703 PORTAGE AVE, SOUTH BEND, IN, 46628",READY2ISSU,South Bend,IN,46628,574-544-5678,2023,RST2023-325,"3703 PORTAGE AVE, SOUTH BEND, IN, 46628, South Bend, IN, 46628",FALSE,NA,NA
Restaurant (N-Z) License,Tippecanoe Place Restaurant,NA,INACTIVE,South Bend,IN,46601,574-234-9077,2022,RST2022-005,"NA, South Bend, IN, 46601",FALSE,41.6733677,-86.2554786
Restaurant (N-Z) License,PORTAGE ONE STOP,"3301 PORTAGE AVE SOUTH BEND, IN 46628",RENEWED,SOUTH BEND,IN,46628,574-310-9068,2020,RST2020-047,"3301 PORTAGE AVE SOUTH BEND, IN 46628, SOUTH BEND, IN, 46628",FALSE,NA,NA
Open Air Business License,"PURPLE PORCH CO-OP, INC",123 N. HILL ST.,ACTIVE,SOUTH BEND,IN,46617,574-287-6724,2023,OAB2023-001,"123 N. HILL ST., SOUTH BEND, IN, 46617",FALSE,41.6772055,-86.2431458
Precious Metal Dealer License,"OZARK TRADING POST, LLC",1530 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-287-7550,2020,2975PRECM2020,"1530 W  WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6718976,-86.2740187
Restaurant (N-Z) License,West Side Democratic & Civic Club,"617 S WARREN ST, SOUTH BEND, IN, 46619",ACTIVE,South Bend,IN,46619,574-514-6583,2023,RST2023-381,"617 S WARREN ST, SOUTH BEND, IN, 46619, South Bend, IN, 46619",FALSE,NA,NA
Arborist License,MARK TEMPLE TREE SERVICE,201 S OLIVE ST,READY2ISSU,SOUTH BEND,IN,46619,574-232-2700,2023,ARB2023-030,"201 S OLIVE ST, SOUTH BEND, IN, 46619",FALSE,41.6741405,-86.2834462
Restaurant (A-M) License,LOS ASES MEXICAN FOOD,3622 EDISON RD,RENEWED,SOUTH BEND,IN,46615,574-383-5546,2020,7978RESTAM2020,"3622 EDISON RD, SOUTH BEND, IN, 46615",FALSE,41.6946184,-86.1987021
Lawn Parking License,1515 ROSEMARY LN.,1515 ROSEMARY LN.,RENEWED,SOUTH BEND,IN,46637,NA,2022,LWN2022-057,"1515 ROSEMARY LN., SOUTH BEND, IN, 46637",FALSE,41.6958467,-86.2188429
Taxi Vehicle License,"UNITED CAB OF SOUTH BEND, LLC",2107 S. MICHIGAN ST.,ACTIVE,SOUTH BEND,IN,46613,574-233-9599,2022,TXV2022-007,"2107 S. MICHIGAN ST., SOUTH BEND, IN, 46613",FALSE,41.6519917,-86.2502962
Restaurant (A-M) License,Five Guys,"1233 N EDDY ST 110, SOUTH BEND, IN, 46617",RENEWED,South Bend,IN,46617,574-234-1800,2021,RST2021-096,"1233 N EDDY ST 110, SOUTH BEND, IN, 46617, South Bend, IN, 46617",FALSE,NA,NA
Restaurant (A-M) License,Gospel Center Missionary Church,"930 S 30TH ST, SOUTH BEND, IN, 46615",ACTIVE,South Bend,IN,46615,574-288-4477,2023,RST2023-122,"930 S 30TH ST, SOUTH BEND, IN, 46615, South Bend, IN, 46615",FALSE,NA,NA
Self Service Laundry/Dry Cleaner License,BURTON'S LAUNDRY,1258 ELWOOD AVE,ACTIVE,SOUTH BEND,IN,46628,574-255-6101,2023,LND23-00030,"1258 ELWOOD AVE, SOUTH BEND, IN, 46628",FALSE,41.6938622,-86.2684179
Restaurant (A-M) License,MC ALISTER'S DELI,1130 E  ANGELA BLVD,RENEWED,FRANKLIN,TN,37067,574-232-8560,2020,4922RESTAM2020,"1130 E  ANGELA BLVD, FRANKLIN, TN, 37067",FALSE,NA,NA
Automotive Repair License,JT AUTO,"4443 W WESTERN AVE, SOUTH BEND, IN, 46619",ACTIVE,South Bend,IN,46619,574-235-8473,2023,AUT2023-017,"4443 W WESTERN AVE, SOUTH BEND, IN, 46619, South Bend, IN, 46619",FALSE,NA,NA
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN,3924   PORTAGE AVE,RENEWED,WICHITA,KS,67278,574-271-1368,2020,8445RESTAM2020,"3924   PORTAGE AVE, WICHITA, KS, 67278",FALSE,NA,NA
Restaurant (A-M) License,J.W. CHEN'S,1835 SOUTH BEND AVE,RENEWED,SOUTH BEND,IN,46637,574-271-2777,2021,RST2021-278,"1835 SOUTH BEND AVE, SOUTH BEND, IN, 46637",FALSE,41.6974182,-86.2209762
Restaurant (A-M) License,THE COFFEE SPOT,3201 SUGAR MAPLE BUSINESS CT,RENEWED,SOUTH BEND,IN,46628,574-288-0398,2020,790RESTAM2020,"3201 SUGAR MAPLE BUSINESS CT, SOUTH BEND, IN, 46628",FALSE,NA,NA
Restaurant (N-Z) License,POPEYE'S LOUISIANA KITCHEN,2605 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46628,574-232-0000,2022,RST2022-306,"2605 LINCOLN WAY, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Restaurant (A-M) License,Frick’s DQ Grill & Chill,"3907 S MICHIGAN ST, SOUTH BEND, IN, 46614",RENEWED,South Bend,IN,46614,574-291-2330,2022,RST2022-110,"3907 S MICHIGAN ST, SOUTH BEND, IN, 46614, South Bend, IN, 46614",FALSE,41.6350818,-86.251114
Lawn Parking License,1209 E. CORBY,1209 E. CORBY,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-044,"1209 E. CORBY, SOUTH BEND, IN, 46617",FALSE,41.6871386,-86.2370227
Mobile Food Vendor (N-Z) 1 Year License,"Rulli's Italian Restaurant, Inc.",851 US Highway 20,RENEWED,Middlebury,IN,46540,574-361-3682,2021,MFV2021-008,"851 US Highway 20, Middlebury, IN, 46540",FALSE,NA,NA
Restaurant (A-M) License,ANTONIO'S,2227 FRANKLIN ST,EXPIRED,SOUTH BEND,IN,46613,574-747-4988,2022,RST2022-501,"2227 FRANKLIN ST, SOUTH BEND, IN, 46613",FALSE,41.650885,-86.254611
Arborist License,DAVE TALBOOM LAWNCARE INC,26981 KLINE TRL,RENEWED,SOUTH BEND,IN,46614,574-234-4883,2022,ARB2022-016,"26981 KLINE TRL, SOUTH BEND, IN, 46614",FALSE,NA,NA
Restaurant (A-M) License,DAIRY QUEEN,4836 W. WESTERN AVE.,EXPIRED,SOUTH BEND,IN,46619,574-288-1100,2022,RST2022-491,"4836 W. WESTERN AVE., SOUTH BEND, IN, 46619",FALSE,41.6720102,-86.3153989
Alarm Agent License,JOHNSON CONTROLS SECURITY SOLU,3600 W  MCGILL ST,RENEWED,BOCA RATON,FL,33431,561-912-6108,2020,7007ALARM2020,"3600 W  MCGILL ST, BOCA RATON, FL, 33431",FALSE,NA,NA
Alarm Agent License,SPEEDWAY LLC,500 Speedway Dr,RENEWED,SPRINGFIELD,OH,45501-1580,937-863-6473,2020,434ALARM2020,"500 Speedway Dr, SPRINGFIELD, OH, 45501-1580",FALSE,NA,NA
Restaurant (A-M) License,Greater St. John Missionary Baptist Church,"101 N ADAMS ST, SOUTH BEND, IN, 46628",RENEWED,South Bend,IN,46628,574-232-6700,2021,RST2021-047,"101 N ADAMS ST, SOUTH BEND, IN, 46628, South Bend, IN, 46628",FALSE,NA,NA
Restaurant (N-Z) License,7-Eleven #35742,1233 N EDDY ST,ACTIVE,SOUTH BEND,IN,46617,574-234-2544,2023,RST2023-358,"1233 N EDDY ST, SOUTH BEND, IN, 46617",FALSE,41.6913517,-86.2358199
Restaurant (N-Z) License,RAGAMUFFIN BAKERY & COFFEE,321 S  MAIN ST,RENEWED,SOUTH BEND,IN,46601,765-366-3808,2020,8685RESTZ2020,"321 S  MAIN ST, SOUTH BEND, IN, 46601",FALSE,41.6728046,-86.2526466
Restaurant (A-M) License,MARYCREST MARATHON,2322 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-233-8375,2020,7991RESTAM2020,"2322 W  WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6720118,-86.2825737
Restaurant (A-M) License,Edible Arrangements,"123 S MICHIGAN ST, SOUTH BEND, 46601",RENEWED,South Bend,IN,46601,574-234-8281,2021,RST2021-090,"123 S MICHIGAN ST, SOUTH BEND, 46601, South Bend, IN, 46601",FALSE,41.6825204,-86.2504095
Massage Establishment License,THERAPEUTIC INDULGENCE,903 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-520-1664,2022,MSE2022-002,"903 E JEFFERSON BLVD, SOUTH BEND, IN, 46617",FALSE,41.6752235,-86.2381154
Alarm Agent License,CRITICOM MONITORING SERVICES,715 W State Road 434,ACTIVE,LONGWOOD,FL,32750,NA,2023,ALR2023-035,"715 W State Road 434, LONGWOOD, FL, 32750",FALSE,28.6977223,-81.3560272
Scrap Metal Dealer License,BIG BULLDOG AUTO PARTS,3700 S GERTRUDE ST,RENEWED,South Bend,IN,46614,574-472-1277,2022,SCR2022-001,"3700 S GERTRUDE ST, South Bend, IN, 46614",FALSE,41.642793,-86.272933
Restaurant (N-Z) License,YELLOW CAT CAFE,808 E Colfax Ave,RENEWED,SOUTH BEND,IN,46617,574-233-2233,2021,RST2021-326,"808 E Colfax Ave, SOUTH BEND, IN, 46617",FALSE,41.6777525,-86.2395718
Mobile Food Vendor (A-M) 1 Year License,FRANKYS TACOS LLC,2720 MISHAWAKA AVE,ACTIVE,SOUTH BEND,IN,46615,574-596-3196,2023,MFV2023-007,"2720 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6655092,-86.2079307
Restaurant (A-M) License,CHIMICHURRI,601 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46617,574-400-0979,2022,RST2022-093,"601 E JEFFERSON BLVD, SOUTH BEND, IN, 46617",FALSE,41.6752932,-86.2425293
Restaurant (A-M) License,DON JUAN CANTINA & GRILL,3421 W SAMPLE ST,ACTIVE,SOUTH BEND,IN,46619,574-246-0331,2023,RST2023-078,"3421 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6647829,-86.296236
Restaurant (A-M) License,ALOFT - REFUEL AND WXYZ BAR,111 N MAIN ST,RENEWED,SOUTH BEND,IN,46601,574-288-8000,2022,RST2022-480,"111 N MAIN ST, SOUTH BEND, IN, 46601",FALSE,41.6765772,-86.2524213
Restaurant (A-M) License,KROGER #903,1217 E IRELAND RD,RENEWED,SOUTH BEND,IN,46614,574-291-0666,2022,RST2022-222,"1217 E IRELAND RD, SOUTH BEND, IN, 46614",FALSE,41.6305082,-86.2320387
Alarm Agent License,ADT LLC DBA PROTECTION ONE,11918 Exit 5 Parkway,RENEWED,GREENWOOD,IN,46143,561-226-3437,2020,8677ALARM2020,"11918 Exit 5 Parkway, GREENWOOD, IN, 46143",FALSE,NA,NA
Restaurant (A-M) License,"Career Academy of South Bend, INC","3801 CRESCENT CIR, SOUTH BEND, IN, 46628",RENEWED,South Bend,IN,46628,574-299-9800,2022,RST2022-473,"3801 CRESCENT CIR, SOUTH BEND, IN, 46628, South Bend, IN, 46628",FALSE,NA,NA
Restaurant (N-Z) License,SAINT MARY PARISH PNCC,1601 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-485-8520,2022,RST2022-154,"1601 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6648019,-86.274425
Tattoo/Body Piercing Artist License,ALYSON KALUZNY,2026 CHAPIN ST,ACTIVE,SOUTH BEND,IN,46613,NA,2023,TAA2023-011,"2026 CHAPIN ST, SOUTH BEND, IN, 46613",FALSE,41.6528959,-86.2610382
Taxi Driver License,"GATONYE, STANLEY",4328 HUNTER RUN CIR,ACTIVE,SOUTH BEND,IN,46628,574-256-8145,2022,TXD2022-001,"4328 HUNTER RUN CIR, SOUTH BEND, IN, 46628",FALSE,41.7329716,-86.2812969
Food Vending Machine License,COFFEL VENDING,1405 S BYRKIT AVE,READY2ISSU,MISHAWAKA,IN,46544,574-255-4321,2023,FVM2023-003,"1405 S BYRKIT AVE, MISHAWAKA, IN, 46544",FALSE,41.6522897,-86.1576971
Secondhand Store License,Muebleria Alejandro,"1708 S MICHIGAN ST, SOUTH BEND, 46613",ACTIVE,SOUTH BEND,IN,46613,574-876-8434,2023,SHN2023-013,"1708 S MICHIGAN ST, SOUTH BEND, 46613, SOUTH BEND, IN, 46613",FALSE,NA,NA
Automotive Repair License,DEVREESE ENTERPRISES,1314 PORTAGE AVE,RENEWED,SOUTH BEND,IN,46616,574-288-0822,2021,AUT2021-033,"1314 PORTAGE AVE, SOUTH BEND, IN, 46616",FALSE,41.6928113,-86.267789
Restaurant (A-M) License,MANDARIN HOUSE RESTAURANT,2104 EDISON RD,RENEWED,SOUTH BEND,IN,46617,574-287-4414,2020,330RESTAM2020,"2104 EDISON RD, SOUTH BEND, IN, 46617",FALSE,41.6943915,-86.2182518
Restaurant (A-M) License,KELLY'S PUB,1150   MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-287-7379,2020,1711RESTAM2020,"1150   MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6669828,-86.2339511
Restaurant (A-M) License,LASALLE KITCHEN AND TAVERN,115 W  COLFAX AVE,RENEWED,SOUTH BEND,IN,46601,574-288-1174,2020,8034RESTAM2020,"115 W  COLFAX AVE, SOUTH BEND, IN, 46601",FALSE,41.677892,-86.2513471
Restaurant (N-Z) License,The Skillet Restaurant,"2212 MCKINLEY AVE, SOUTH BEND, IN, 46615",RENEWED,South Bend,IN,46615,574-233-7104,2022,RST2022-111,"2212 MCKINLEY AVE, SOUTH BEND, IN, 46615, South Bend, IN, 46615",FALSE,NA,NA
Restaurant (N-Z) License,CHOCOLATE CAFE' - SOUTH BEND CLINIC,"211 N EDDY ST, SOUTH BEND, IN, 46617",RENEWED,South Bend,IN,46619,574-233-2577,2020,RST2020-022,"211 N EDDY ST, SOUTH BEND, IN, 46617, South Bend, IN, 46619",FALSE,NA,NA
Restaurant (A-M) License,KELLY'S PUB,1150 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-287-7379,2022,RST2022-042,"1150 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6669828,-86.2339511
Lawn Parking License,1311 WHITE OAK DR.,1311 WHITE OAK DR.,RENEWED,SOUTH BEND,IN,46617,NA,2021,LWN2021-056,"1311 WHITE OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6926804,-86.2246801
Massage Establishment License,NEW YOU OASIS LLC,"910 E IRELAND RD, SOUTH BEND, 46614",INACTIVE,SOUTH BEND,IN,46614,574-222-2244,2022,MSE2022-005,"910 E IRELAND RD, SOUTH BEND, 46614, SOUTH BEND, IN, 46614",FALSE,NA,NA
Restaurant (A-M) License,KENNEDY PRIMARY ACADEMY,609 N OLIVE ST,EXPIRED,SOUTH BEND,IN,46628,574-393-3112,2022,RST2022-456,"609 N OLIVE ST, SOUTH BEND, IN, 46628",FALSE,41.6826211,-86.2836805
Restaurant (N-Z) License,SUNRISE CAFE,1805 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46628,574-232-2323,2020,RST2020-040,"1805 LINCOLN WAY W, SOUTH BEND, IN, 46628",FALSE,41.6578854,-86.2193376
Arborist License,ARBORCARE INC,15511 KELLY RD,RENEWED,MISHAWAKA,IN,46544,574-255-7173,2022,ARB2022-011,"15511 KELLY RD, MISHAWAKA, IN, 46544",FALSE,NA,NA
Lawn Parking License,1208 N. TWYCKENHAM DR.,1208 N. TWYCKENHAM DR.,INACTIVE,SOUTH BEND,IN,46617,NA,2022,LWN2022-034,"1208 N. TWYCKENHAM DR., SOUTH BEND, IN, 46617",FALSE,41.6911123,-86.2258471
Lawn Parking License,1311 WHITE OAK DR.,1311 WHITE OAK DR.,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-041,"1311 WHITE OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6926804,-86.2246801
Restaurant (N-Z) License,SPIRITED LLC,105 E JEFFERSON BLVD,RENEWED,SOUTH BEND,IN,46628,574-406-6946,2020,RST2020-035,"105 E JEFFERSON BLVD, SOUTH BEND, IN, 46628",FALSE,41.67536,-86.2501254
Restaurant (A-M) License,FRANKYS TACOS LLC,2720 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-596-3196,2022,RST2022-402,"2720 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6655092,-86.2079307
Rubbish/Garbage Removal License,WILLIE ALSANDER,3719 W JEFFERSON BLVD,ABT2EXP,South Bend,IN,46619,NA,2022,GAR2022-001,"3719 W JEFFERSON BLVD, South Bend, IN, 46619",FALSE,41.674104,-86.2912657
Restaurant (N-Z) License,NUEVA VIDA,2013   FORD ST,RENEWED,SOUTH BEND,IN,46619,574-339-8332,2020,5747RESTZ2020,"2013   FORD ST, SOUTH BEND, IN, 46619",FALSE,41.6685398,-86.2795768
Arborist License,MAAC PROPERTY SERVICES,2344 Yankee St,RENEWED,NILES,MI,49120,269-687-8845,2021,ARB2021-019,"2344 Yankee St, NILES, MI, 49120",FALSE,41.8265953,-86.2191837
Restaurant (N-Z) License,TACO BELL,221 W LASALLE AVE,READY2ISSU,SOUTH BEND,IN,46601,574-233-3431,2023,RST2023-304,"221 W LASALLE AVE, SOUTH BEND, IN, 46601",FALSE,41.6792966,-86.2532158
Arborist License,ARBORCARE INC,15511   KELLY RD,RENEWED,MISHAWAKA,IN,46544,574-255-7173,2021,ARB2021-015,"15511   KELLY RD, MISHAWAKA, IN, 46544",FALSE,NA,NA
Massage Establishment License,MASSAGE BY SUZANNE,914 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46616,574-993-7537,2021,MSE2021-001,"914 LINCOLN WAY, SOUTH BEND, IN, 46616",FALSE,41.666636,-86.2385554
Restaurant (A-M) License,KENTUCKY FRIED CHICKEN,4207 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-291-0083,2022,RST2022-263,"4207 S MICHIGAN ST, SOUTH BEND, IN, 46614",FALSE,41.6321454,-86.2512488
Restaurant (A-M) License,CAFE NAVARRE,101 N MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-968-8101,2022,RST2022-292,"101 N MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.676496,-86.250474
Restaurant (A-M) License,Hoosier Spot,"2302 S MICHIGAN ST, SOUTH BEND, 46614",ACTIVE,South Bend,IN,46614,574-222-2290,2023,RST2023-152,"2302 S MICHIGAN ST, SOUTH BEND, 46614, South Bend, IN, 46614",FALSE,NA,NA
Restaurant (A-M) License,EVANGEL HEIGHTS UNITED METHODIST CHURCH,"114 N IRONWOOD DR, SOUTH BEND, IN, 46615",RENEWED,South Bend,IN,46615,574-234-8379,2022,RST2022-065,"114 N IRONWOOD DR, SOUTH BEND, IN, 46615, South Bend, IN, 46615",FALSE,NA,NA
Mobile Food Vendor (N-Z) 1 Year License,"Smothered & Covered Fries and More, LLC",1114 VICTORY AVE,RENEWED,South Bend,IN,46615,574-323-3397,2020,MFV2020-002,"1114 VICTORY AVE, South Bend, IN, 46615",FALSE,41.6903196,-86.2070197
Restaurant (A-M) License,KERN RD LLC,61045 US-31 S,RENEWED,SOUTH BEND,IN,46614,347-596-6509,2020,RST2020-050,"61045 US-31 S, SOUTH BEND, IN, 46614",FALSE,41.607833,-86.2544855
Hotel and Motel License,HOLIDAY INN EXPRESS,210 CALLANDER ST,RENEWED,SOUTH BEND,IN,46614,574-291-1040,2022,HTM2022-006,"210 CALLANDER ST, SOUTH BEND, IN, 46614",FALSE,41.6273216,-86.2500818
Restaurant (N-Z) License,OC MARKET,815 N OLIVE ST,READY2ISSU,SOUTH BEND,IN,46628,574-855-4251,2023,RST2023-354,"815 N OLIVE ST, SOUTH BEND, IN, 46628",FALSE,41.6861634,-86.2841106
